year,hurricane_count,cost_bill
1980,0,0
1981,1,1.3
1982,2,3
1983,0,0
1984,2,3
1985,1,1.6
1986,1,1.4
1987,0,0
1988,0,0
1989,1,1.3
1990,1,1.8
1991,1,1.4
1992,4,6.7
1993,1,1.3
1994,1,2
1995,2,11.6
1996,0,0
1997,1,1.8
1998,3,6.7
1999,1,3.5
2000,1,1.2
2001,2,6.2
2002,2,4.6
2003,4,12.8
2004,2,2.7
2005,1,1.3
2006,5,10.2
2007,1,3.5
2008,6,12.3
2009,6,11
2010,4,12.1
2011,10,41.6
2012,7,20.8
2013,7,13.5
2014,6,13.7
2015,6,10.1
2016,8,17.8
2017,10,21.9
2018,9,14.6
2019,8,15.6
2020,13,37.8
2021,11,21.6
2022,10,18.8